epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,31.3259,0.44027,5.82276,0.45214,0.72966,0.67796,0.68963,0.51531,0.30631,0.81831,0.50528,0.000410354,0.000410354,0.000410354
2,58.7869,0.33747,0.78689,0.34922,0.64863,0.60022,0.55125,0.40558,0.30066,1.26524,0.45158,0.000818833,0.000818833,0.000818833
3,84.5731,0.32017,0.66926,0.31477,0.77032,0.71864,0.72152,0.56198,0.2842,0.6982,0.45949,0.00121906,0.00121906,0.00121906
4,109.852,0.30564,0.63857,0.31755,0.85585,0.77893,0.79487,0.62089,0.26931,0.62995,0.40172,0.00121287,0.00121287,0.00121287
5,136.614,0.30446,0.63179,0.29305,0.82943,0.69264,0.74863,0.58494,0.27207,0.77239,0.45218,0.0012005,0.0012005,0.0012005
6,163.094,0.28439,0.61577,0.29437,0.81659,0.69196,0.72489,0.5635,0.30213,0.68113,0.51551,0.00118812,0.00118812,0.00118812
7,189.313,0.28209,0.60763,0.29187,0.85533,0.78757,0.84591,0.69584,0.25283,0.56122,0.38702,0.00117575,0.00117575,0.00117575
8,215.649,0.29364,0.66357,0.28968,0.79761,0.76009,0.74928,0.59627,0.2841,0.69497,0.44686,0.00116337,0.00116337,0.00116337
9,241.86,0.28537,0.61077,0.29166,0.82828,0.74014,0.7611,0.59565,0.28487,0.66853,0.43184,0.001151,0.001151,0.001151
10,268.079,0.30036,0.58168,0.29734,0.85449,0.76837,0.82513,0.6798,0.25029,0.59241,0.35562,0.00113863,0.00113863,0.00113863
11,294.026,0.27081,0.57312,0.27463,0.88744,0.79769,0.84888,0.68582,0.26801,0.5516,0.42893,0.00112625,0.00112625,0.00112625
12,320.012,0.2585,0.56464,0.26304,0.85011,0.75238,0.82668,0.67384,0.24944,0.65023,0.39034,0.00111388,0.00111388,0.00111388
13,345.964,0.26634,0.56219,0.26336,0.88822,0.77443,0.84203,0.68396,0.25662,0.60609,0.39715,0.0011015,0.0011015,0.0011015
14,372.156,0.27511,0.58078,0.28171,0.8976,0.76177,0.8546,0.69809,0.24603,0.62005,0.37289,0.00108913,0.00108913,0.00108913
15,399.129,0.27639,0.57208,0.28081,0.85636,0.74785,0.79997,0.64554,0.24083,0.6092,0.33432,0.00107675,0.00107675,0.00107675
16,425.837,0.26788,0.55277,0.26124,0.85251,0.74834,0.79191,0.65041,0.22773,0.6235,0.33936,0.00106437,0.00106437,0.00106437
17,452.361,0.28443,0.55864,0.27354,0.83394,0.7479,0.75965,0.61039,0.24038,0.6277,0.36545,0.001052,0.001052,0.001052
18,479.014,0.26056,0.55189,0.26916,0.88204,0.78846,0.83544,0.67858,0.26736,0.55187,0.41888,0.00103962,0.00103962,0.00103962
19,505.048,0.26332,0.53633,0.26974,0.89056,0.79222,0.84502,0.68825,0.26661,0.51145,0.42923,0.00102725,0.00102725,0.00102725
20,530.996,0.25162,0.56455,0.25607,0.88077,0.81413,0.85976,0.72372,0.22366,0.53903,0.33417,0.00101488,0.00101488,0.00101488
21,557.409,0.25146,0.51201,0.25545,0.88709,0.80695,0.86923,0.72697,0.22859,0.57709,0.34982,0.0010025,0.0010025,0.0010025
22,584.099,0.25087,0.53256,0.25892,0.91463,0.86565,0.91643,0.75491,0.22288,0.44273,0.33299,0.000990125,0.000990125,0.000990125
23,610.831,0.236,0.48599,0.24198,0.93238,0.87294,0.90588,0.75984,0.2168,0.46495,0.31157,0.00097775,0.00097775,0.00097775
24,637.089,0.23478,0.46556,0.23663,0.94416,0.87234,0.90697,0.74605,0.24499,0.48707,0.39322,0.000965375,0.000965375,0.000965375
25,663.234,0.23108,0.46565,0.23899,0.92371,0.85803,0.89121,0.75621,0.2307,0.4632,0.36637,0.000953,0.000953,0.000953
26,689.502,0.24448,0.50192,0.2485,0.90614,0.85994,0.89621,0.75256,0.20267,0.58584,0.27884,0.000940625,0.000940625,0.000940625
27,715.945,0.23821,0.48568,0.24523,0.91925,0.84748,0.89711,0.73533,0.23518,0.45817,0.38074,0.00092825,0.00092825,0.00092825
28,742.278,0.24328,0.47914,0.24037,0.92833,0.83537,0.90788,0.75396,0.23366,0.46956,0.36616,0.000915875,0.000915875,0.000915875
29,768.751,0.23091,0.47149,0.23255,0.89922,0.84476,0.8978,0.75295,0.20083,0.55537,0.28101,0.0009035,0.0009035,0.0009035
30,794.315,0.23596,0.46124,0.23093,0.91074,0.84596,0.89606,0.74444,0.22867,0.48956,0.35335,0.000891125,0.000891125,0.000891125
31,819.633,0.22511,0.44127,0.22364,0.91579,0.89111,0.91462,0.77545,0.20172,0.43321,0.2914,0.00087875,0.00087875,0.00087875
32,845.12,0.2217,0.44352,0.23155,0.94337,0.84186,0.91181,0.76853,0.2035,0.47902,0.29705,0.000866375,0.000866375,0.000866375
