epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.7802,0.79577,3.74115,0.0123,0.6966,0.57144,0.64395,0.47418,0.99267,1.49024,0.02574,0.000410354,0.000410354,0.000410354
2,35.3811,1.0469,1.51381,0.01615,0.62238,0.60076,0.6103,0.35179,1.38832,2.06679,0.03779,0.000818833,0.000818833,0.000818833
3,52.5112,1.21777,1.37605,0.01949,0.67622,0.42931,0.52948,0.32481,1.35302,1.80965,0.03796,0.00121906,0.00121906,0.00121906
4,69.4693,1.18924,1.29661,0.01939,0.69963,0.67537,0.71709,0.44255,1.42142,1.37743,0.04293,0.00121287,0.00121287,0.00121287
5,86.4595,1.16472,1.19433,0.01814,0.73549,0.67923,0.76526,0.51068,1.21814,1.11491,0.03311,0.0012005,0.0012005,0.0012005
6,103.557,1.16055,1.09549,0.01909,0.80688,0.77159,0.8422,0.58408,1.14144,0.84262,0.02973,0.00118812,0.00118812,0.00118812
7,120.668,1.11462,1.07079,0.01817,0.80833,0.75201,0.84303,0.60324,1.0759,0.91281,0.02767,0.00117575,0.00117575,0.00117575
8,137.747,1.10711,1.02878,0.01708,0.86634,0.72936,0.83529,0.59882,1.06828,0.99692,0.0276,0.00116337,0.00116337,0.00116337
9,154.721,1.08528,1.02885,0.0172,0.84984,0.75589,0.86462,0.61948,1.05057,0.83494,0.02653,0.001151,0.001151,0.001151
10,171.887,1.1163,1.0003,0.01744,0.82559,0.75565,0.84285,0.61456,1.07103,0.87822,0.0288,0.00113863,0.00113863,0.00113863
11,189.107,1.05685,0.96439,0.01696,0.68855,0.66515,0.69348,0.45751,1.21784,1.33486,0.03262,0.00112625,0.00112625,0.00112625
12,206.13,1.06319,0.92655,0.01715,0.82055,0.78844,0.86039,0.6209,1.05883,0.99442,0.02784,0.00111388,0.00111388,0.00111388
13,223.513,1.00578,0.90891,0.01526,0.80721,0.64836,0.79656,0.5766,1.07581,1.13556,0.0282,0.0011015,0.0011015,0.0011015
14,240.494,0.96904,0.82546,0.01558,0.86285,0.77294,0.88188,0.64311,1.05639,0.87642,0.02772,0.00108913,0.00108913,0.00108913
15,257.708,0.97088,0.82451,0.01485,0.81022,0.77173,0.84971,0.61944,1.05285,1.03031,0.027,0.00107675,0.00107675,0.00107675
16,274.799,0.96061,0.82853,0.01469,0.83723,0.78105,0.86708,0.65435,1.00754,0.82783,0.02607,0.00106437,0.00106437,0.00106437
17,291.994,1.00197,0.81862,0.01482,0.89791,0.75913,0.88215,0.67724,0.96637,0.7118,0.02432,0.001052,0.001052,0.001052
18,309.274,0.95243,0.7808,0.01498,0.87636,0.8213,0.90359,0.67307,1.01953,0.63449,0.02762,0.00103962,0.00103962,0.00103962
19,326.328,0.94424,0.80367,0.01521,0.86288,0.8027,0.89394,0.68622,0.97268,0.67019,0.02481,0.00102725,0.00102725,0.00102725
