epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.9887,0.81818,3.1113,0.01263,0.66513,0.54121,0.63221,0.44659,1.0371,1.65414,0.0269,0.000410354,0.000410354,0.000410354
2,32.7137,1.03748,1.57261,0.016,0.56543,0.55256,0.54145,0.30665,1.33657,1.70982,0.0348,0.000818833,0.000818833,0.000818833
3,46.9984,1.1829,1.46245,0.01884,0.64565,0.53537,0.56354,0.31294,1.30521,2.10137,0.03471,0.00121906,0.00121906,0.00121906
4,61.1669,1.19501,1.39578,0.01965,0.64768,0.57268,0.63203,0.41794,1.21271,1.845,0.03271,0.00121287,0.00121287,0.00121287
5,75.3965,1.17702,1.30984,0.01893,0.70833,0.682,0.75064,0.48376,1.30116,1.18519,0.03573,0.0012005,0.0012005,0.0012005
6,89.7053,1.16789,1.17812,0.01948,0.65538,0.58713,0.61029,0.40726,1.3038,1.75291,0.0357,0.00118812,0.00118812,0.00118812
7,103.91,1.12089,1.13482,0.01859,0.71395,0.68976,0.78041,0.52681,1.24212,1.29095,0.03414,0.00117575,0.00117575,0.00117575
8,118.224,1.12877,1.06447,0.01753,0.8079,0.7588,0.83287,0.58063,1.11745,1.05368,0.02926,0.00116337,0.00116337,0.00116337
9,132.578,1.07991,1.06448,0.01738,0.76452,0.74093,0.82145,0.56877,1.13934,1.09402,0.03074,0.001151,0.001151,0.001151
10,146.726,1.07835,1.02465,0.01694,0.75465,0.71748,0.80233,0.57937,1.0496,0.96591,0.02655,0.00113863,0.00113863,0.00113863
11,160.96,1.06298,1.03929,0.01694,0.79359,0.71353,0.80723,0.56772,1.16419,1.08651,0.03197,0.00112625,0.00112625,0.00112625
12,175.169,1.02978,0.96156,0.0165,0.763,0.71996,0.81259,0.5814,1.06212,0.96534,0.0271,0.00111388,0.00111388,0.00111388
13,189.82,1.01273,0.9505,0.01544,0.82431,0.79173,0.86928,0.63783,1.04387,0.9548,0.02744,0.0011015,0.0011015,0.0011015
14,204.42,0.99127,0.89395,0.01609,0.87575,0.77665,0.88369,0.64843,1.05511,0.74655,0.02755,0.00108913,0.00108913,0.00108913
15,218.868,0.98202,0.86806,0.01513,0.79608,0.75453,0.85593,0.6411,1.0372,0.96417,0.02882,0.00107675,0.00107675,0.00107675
16,233.161,0.97219,0.84553,0.01504,0.76627,0.79027,0.85454,0.63114,1.06487,0.78728,0.02891,0.00106437,0.00106437,0.00106437
17,247.416,1.01126,0.85235,0.01513,0.87638,0.78224,0.88019,0.66254,1.0421,0.76616,0.02784,0.001052,0.001052,0.001052
18,261.764,0.95843,0.809,0.01503,0.87889,0.79792,0.89299,0.66431,1.01526,0.67083,0.02591,0.00103962,0.00103962,0.00103962
19,276.186,0.95991,0.84109,0.01555,0.84285,0.81569,0.89506,0.66769,0.98503,0.68298,0.0249,0.00102725,0.00102725,0.00102725
20,290.614,0.93326,0.83592,0.01474,0.86243,0.79511,0.89546,0.68838,0.93033,0.70081,0.02349,0.00101488,0.00101488,0.00101488
21,305.175,0.90194,0.73711,0.01413,0.80932,0.65904,0.77747,0.54962,1.16049,0.96482,0.03247,0.0010025,0.0010025,0.0010025
22,319.935,0.93444,0.81286,0.01518,0.87804,0.82195,0.89827,0.68659,0.94815,0.66996,0.02394,0.000990125,0.000990125,0.000990125
23,334.122,0.89463,0.73336,0.01385,0.92089,0.77195,0.89266,0.6796,0.94383,0.62936,0.02379,0.00097775,0.00097775,0.00097775
24,348.566,0.90239,0.75472,0.01411,0.93833,0.76283,0.89214,0.69316,0.97905,0.64643,0.0261,0.000965375,0.000965375,0.000965375
25,363.804,0.87069,0.72236,0.01363,0.90979,0.8373,0.9212,0.71865,0.92283,0.5844,0.02342,0.000953,0.000953,0.000953
26,378.909,0.88667,0.76248,0.01382,0.90123,0.82286,0.9224,0.73135,0.88354,0.83367,0.02268,0.000940625,0.000940625,0.000940625
27,394.153,0.86733,0.73168,0.01373,0.89007,0.84051,0.91746,0.7358,0.86113,0.56023,0.02172,0.00092825,0.00092825,0.00092825
28,409.063,0.87887,0.72768,0.0134,0.8701,0.83402,0.92006,0.7209,0.94013,0.60572,0.02476,0.000915875,0.000915875,0.000915875
29,423.504,0.82165,0.68445,0.0125,0.90658,0.81972,0.92076,0.72889,0.90825,0.61498,0.02305,0.0009035,0.0009035,0.0009035
30,437.921,0.83945,0.65515,0.01265,0.9322,0.79317,0.91172,0.72862,0.85231,0.58937,0.02136,0.000891125,0.000891125,0.000891125
31,452.396,0.83435,0.65469,0.01267,0.87351,0.84245,0.90867,0.71536,0.9123,0.60153,0.02346,0.00087875,0.00087875,0.00087875
32,466.804,0.82047,0.67174,0.01267,0.85172,0.87216,0.91421,0.72637,0.89458,0.60946,0.02315,0.000866375,0.000866375,0.000866375
33,481.276,0.80217,0.62474,0.01234,0.90448,0.81325,0.91875,0.72951,0.8623,0.56655,0.02149,0.000854,0.000854,0.000854
34,495.699,0.81657,0.6191,0.01234,0.92196,0.85787,0.93501,0.7462,0.88334,0.50538,0.02252,0.000841625,0.000841625,0.000841625
35,510.26,0.79197,0.61718,0.01189,0.87647,0.86229,0.9209,0.73069,0.91156,0.55427,0.024,0.00082925,0.00082925,0.00082925
36,524.735,0.78606,0.60267,0.0119,0.91457,0.84518,0.93255,0.72568,0.89535,0.55305,0.02294,0.000816875,0.000816875,0.000816875
37,539.141,0.79759,0.59932,0.01226,0.90099,0.84973,0.9222,0.7321,0.88792,0.57001,0.02333,0.0008045,0.0008045,0.0008045
38,553.568,0.8012,0.60443,0.01205,0.94064,0.82641,0.93202,0.75494,0.8268,0.51336,0.0207,0.000792125,0.000792125,0.000792125
39,568.104,0.77796,0.58669,0.01152,0.88766,0.87448,0.93553,0.74991,0.8535,0.51636,0.02123,0.00077975,0.00077975,0.00077975
40,582.502,0.7851,0.58969,0.01208,0.94214,0.82284,0.9312,0.75473,0.80339,0.51247,0.0193,0.000767375,0.000767375,0.000767375
41,596.923,0.75793,0.59749,0.01184,0.88971,0.8791,0.93398,0.7627,0.84616,0.48692,0.02155,0.000755,0.000755,0.000755
42,611.448,0.74036,0.56951,0.01143,0.92717,0.8168,0.92472,0.74046,0.84612,0.55306,0.02135,0.000742625,0.000742625,0.000742625
43,625.925,0.74993,0.56292,0.01143,0.90389,0.83992,0.9296,0.73925,0.87053,0.53405,0.0219,0.00073025,0.00073025,0.00073025
44,640.65,0.74456,0.54669,0.01136,0.90484,0.82754,0.91462,0.74463,0.76468,0.55597,0.0185,0.000717875,0.000717875,0.000717875
45,654.884,0.76128,0.59266,0.01133,0.8756,0.89046,0.92508,0.74569,0.8447,0.61546,0.0218,0.0007055,0.0007055,0.0007055
46,669.191,0.71758,0.531,0.01052,0.90262,0.86553,0.93062,0.7563,0.85802,0.57891,0.02235,0.000693125,0.000693125,0.000693125
47,683.458,0.72462,0.52029,0.01105,0.95046,0.8254,0.92768,0.74413,0.84186,0.5408,0.0212,0.00068075,0.00068075,0.00068075
48,697.94,0.71173,0.51003,0.01054,0.88167,0.86745,0.92949,0.7623,0.82703,0.54153,0.02156,0.000668375,0.000668375,0.000668375
49,712.245,0.6947,0.52779,0.01037,0.91506,0.87242,0.92861,0.76109,0.82017,0.53981,0.02036,0.000656,0.000656,0.000656
50,726.53,0.72366,0.53088,0.01093,0.88548,0.83931,0.90758,0.74157,0.83064,0.61901,0.02067,0.000643625,0.000643625,0.000643625
51,740.697,0.69124,0.49826,0.01052,0.93604,0.85636,0.93958,0.76134,0.84266,0.50161,0.0212,0.00063125,0.00063125,0.00063125
52,755.091,0.68766,0.48368,0.01017,0.87487,0.8432,0.92385,0.76456,0.79182,0.58807,0.02006,0.000618875,0.000618875,0.000618875
53,769.637,0.68571,0.50416,0.01045,0.93146,0.88474,0.94393,0.77884,0.82055,0.48085,0.021,0.0006065,0.0006065,0.0006065
54,784.305,0.68037,0.49716,0.01045,0.91575,0.86586,0.93343,0.76948,0.81196,0.52488,0.02087,0.000594125,0.000594125,0.000594125
55,798.507,0.67526,0.50211,0.01014,0.89882,0.88544,0.93918,0.77532,0.83003,0.50579,0.02149,0.00058175,0.00058175,0.00058175
56,812.417,0.65854,0.47245,0.01004,0.9041,0.88945,0.93893,0.7852,0.78237,0.47413,0.01922,0.000569375,0.000569375,0.000569375
57,826.552,0.65594,0.46799,0.00986,0.9165,0.85894,0.93103,0.77801,0.79317,0.5339,0.02005,0.000557,0.000557,0.000557
58,840.819,0.66213,0.49028,0.00974,0.93375,0.86219,0.93818,0.78087,0.80215,0.47831,0.02003,0.000544625,0.000544625,0.000544625
59,855.441,0.64493,0.46238,0.00947,0.92413,0.88731,0.93304,0.7786,0.82754,0.51136,0.02114,0.00053225,0.00053225,0.00053225
60,869.821,0.63646,0.45321,0.0095,0.93281,0.8941,0.94532,0.79624,0.77015,0.46943,0.01908,0.000519875,0.000519875,0.000519875
61,884.506,0.63799,0.4497,0.00963,0.92237,0.87352,0.93897,0.78664,0.78745,0.50166,0.01966,0.0005075,0.0005075,0.0005075
62,898.712,0.62496,0.44176,0.00931,0.92308,0.86517,0.93825,0.78274,0.79472,0.49634,0.01979,0.000495125,0.000495125,0.000495125
63,912.712,0.62203,0.41771,0.00916,0.92981,0.90401,0.94168,0.78915,0.77135,0.44066,0.01883,0.00048275,0.00048275,0.00048275
64,926.591,0.61653,0.42593,0.00927,0.92961,0.91479,0.94138,0.79511,0.76359,0.46007,0.01895,0.000470375,0.000470375,0.000470375
65,940.512,0.61914,0.44179,0.00934,0.91295,0.87885,0.93524,0.78583,0.77221,0.47851,0.01898,0.000458,0.000458,0.000458
66,954.349,0.62244,0.43239,0.0093,0.93865,0.89756,0.94414,0.80389,0.7455,0.4489,0.0183,0.000445625,0.000445625,0.000445625
67,968.569,0.5839,0.40177,0.00878,0.91034,0.89978,0.94686,0.79197,0.77317,0.46089,0.0191,0.00043325,0.00043325,0.00043325
68,982.631,0.59293,0.39563,0.00874,0.9432,0.86441,0.94175,0.79335,0.76461,0.47938,0.01881,0.000420875,0.000420875,0.000420875
69,996.688,0.59794,0.39738,0.00901,0.92026,0.87924,0.93838,0.7834,0.76011,0.50269,0.0186,0.0004085,0.0004085,0.0004085
70,1011.32,0.59759,0.39084,0.00907,0.97494,0.85446,0.94099,0.79283,0.74749,0.48883,0.01796,0.000396125,0.000396125,0.000396125
71,1025.68,0.57049,0.38775,0.0087,0.92515,0.86803,0.93175,0.77547,0.75287,0.4952,0.01828,0.00038375,0.00038375,0.00038375
72,1039.94,0.57407,0.3811,0.00849,0.94727,0.86024,0.94426,0.78731,0.76161,0.47245,0.01872,0.000371375,0.000371375,0.000371375
73,1054.31,0.57712,0.36871,0.00853,0.95325,0.89337,0.95095,0.79851,0.77832,0.44063,0.01946,0.000359,0.000359,0.000359
74,1068.58,0.56479,0.37506,0.00847,0.95031,0.88711,0.95797,0.80245,0.76804,0.41827,0.01883,0.000346625,0.000346625,0.000346625
75,1082.95,0.57432,0.38278,0.00833,0.93372,0.88902,0.94904,0.79747,0.75794,0.47631,0.01853,0.00033425,0.00033425,0.00033425
76,1097.35,0.54421,0.35197,0.0079,0.9082,0.90997,0.94856,0.79461,0.77885,0.43198,0.01933,0.000321875,0.000321875,0.000321875
77,1111.67,0.54642,0.34282,0.00825,0.93921,0.91194,0.95297,0.8051,0.75231,0.42573,0.01836,0.0003095,0.0003095,0.0003095
78,1126.15,0.54304,0.35503,0.00795,0.95949,0.88263,0.94581,0.79579,0.7345,0.45595,0.01742,0.000297125,0.000297125,0.000297125
79,1140.45,0.54446,0.34799,0.00827,0.95202,0.90144,0.94984,0.8035,0.73944,0.44335,0.01779,0.00028475,0.00028475,0.00028475
80,1154.76,0.54401,0.36131,0.00797,0.94151,0.89482,0.93602,0.7887,0.7646,0.48794,0.01895,0.000272375,0.000272375,0.000272375
81,1169.11,0.52996,0.3493,0.00776,0.96841,0.88228,0.93642,0.78959,0.76509,0.49055,0.01876,0.00026,0.00026,0.00026
82,1183.39,0.53154,0.351,0.00803,0.94504,0.89604,0.94077,0.7934,0.75268,0.47389,0.01834,0.000247625,0.000247625,0.000247625
83,1197.91,0.52286,0.32754,0.00775,0.94724,0.89576,0.93772,0.79641,0.73481,0.46208,0.01774,0.00023525,0.00023525,0.00023525
84,1212.2,0.53945,0.35675,0.00807,0.94401,0.89949,0.94318,0.80495,0.71596,0.4464,0.01698,0.000222875,0.000222875,0.000222875
85,1226.16,0.52336,0.33097,0.00769,0.94261,0.89578,0.94815,0.80262,0.75026,0.45837,0.01826,0.0002105,0.0002105,0.0002105
86,1240.23,0.52742,0.33295,0.00773,0.95111,0.88814,0.93649,0.79193,0.75698,0.49642,0.01861,0.000198125,0.000198125,0.000198125
87,1254.7,0.52132,0.3333,0.0077,0.94139,0.88202,0.94466,0.79272,0.7552,0.48662,0.0185,0.00018575,0.00018575,0.00018575
88,1269.02,0.52181,0.33112,0.00773,0.9401,0.88846,0.94446,0.80303,0.72634,0.45575,0.01736,0.000173375,0.000173375,0.000173375
89,1283.6,0.50487,0.30814,0.00726,0.93789,0.89526,0.9429,0.80304,0.71125,0.45379,0.0168,0.000161,0.000161,0.000161
90,1297.86,0.5111,0.3168,0.00727,0.96917,0.86898,0.94188,0.80158,0.7315,0.47079,0.01771,0.000148625,0.000148625,0.000148625
91,1329.63,0.40454,0.19886,0.00773,0.95575,0.89448,0.93754,0.78581,0.77515,0.46652,0.01921,0.00013625,0.00013625,0.00013625
92,1343.83,0.36977,0.16751,0.00662,0.94017,0.90057,0.93697,0.79265,0.74593,0.47961,0.01817,0.000123875,0.000123875,0.000123875
93,1358.15,0.36656,0.15738,0.00665,0.9572,0.88655,0.93905,0.79588,0.74362,0.50765,0.01818,0.0001115,0.0001115,0.0001115
94,1372.15,0.35725,0.16282,0.00634,0.96317,0.8774,0.93965,0.79347,0.75177,0.51779,0.01822,9.9125e-05,9.9125e-05,9.9125e-05
95,1386.43,0.34599,0.14674,0.00623,0.9428,0.89106,0.94079,0.79552,0.73878,0.51631,0.01786,8.675e-05,8.675e-05,8.675e-05
96,1400.57,0.35296,0.15695,0.0063,0.96327,0.88424,0.94542,0.80352,0.73288,0.49672,0.01761,7.4375e-05,7.4375e-05,7.4375e-05
97,1414.51,0.3522,0.15108,0.00629,0.95301,0.88624,0.94392,0.80112,0.73217,0.49176,0.01757,6.2e-05,6.2e-05,6.2e-05
98,1428.58,0.34124,0.15428,0.00622,0.94953,0.8852,0.94406,0.80072,0.73177,0.48343,0.01758,4.9625e-05,4.9625e-05,4.9625e-05
99,1442.44,0.3442,0.15313,0.00619,0.96814,0.87556,0.94436,0.80084,0.73011,0.49331,0.01749,3.725e-05,3.725e-05,3.725e-05
100,1456.21,0.33845,0.14242,0.00597,0.96216,0.88549,0.94498,0.80189,0.72802,0.48602,0.01736,2.4875e-05,2.4875e-05,2.4875e-05
