epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0212,0.74633,4.52853,0.01095,0.25923,0.4909,0.32117,0.259,0.61061,4.15029,0.01403,0.000410354,0.000410354,0.000410354
2,23.0241,0.86017,3.25633,0.01243,0.66952,0.58049,0.65621,0.49327,0.84852,3.25423,0.02053,0.000818833,0.000818833,0.000818833
3,30.6925,0.94344,2.72069,0.01399,0.65716,0.67482,0.7184,0.5088,1.0128,2.08318,0.0271,0.00121906,0.00121906,0.00121906
4,38.2622,0.93128,2.30249,0.01429,0.77568,0.67803,0.78795,0.61335,0.89217,1.33157,0.02241,0.00121287,0.00121287,0.00121287
5,46.3633,0.91882,1.92241,0.01363,0.73115,0.73409,0.78543,0.6067,0.78517,1.43361,0.01901,0.0012005,0.0012005,0.0012005
6,53.7478,0.93515,1.65027,0.01476,0.76674,0.74995,0.83718,0.64366,0.95159,0.98888,0.02466,0.00118812,0.00118812,0.00118812
7,61.1016,0.89188,1.43027,0.01388,0.78353,0.7436,0.80886,0.60707,0.95982,1.10887,0.02436,0.00117575,0.00117575,0.00117575
8,68.5977,0.91279,1.34394,0.01345,0.84722,0.78806,0.87284,0.6803,0.96992,0.7326,0.02647,0.00116337,0.00116337,0.00116337
9,76.184,0.89097,1.20587,0.0137,0.82591,0.67804,0.80288,0.62577,0.90786,0.90267,0.02302,0.001151,0.001151,0.001151
10,83.8035,0.91412,1.144,0.01373,0.83129,0.74569,0.84621,0.65963,0.90886,0.94856,0.02233,0.00113863,0.00113863,0.00113863
11,91.2675,0.89591,1.10881,0.0137,0.82596,0.82152,0.87731,0.69236,0.90684,0.74805,0.02329,0.00112625,0.00112625,0.00112625
12,98.5839,0.87017,1.0398,0.01338,0.79878,0.80048,0.85739,0.64726,0.93856,1.07485,0.02389,0.00111388,0.00111388,0.00111388
13,105.968,0.86439,0.98407,0.01275,0.81337,0.84763,0.89336,0.69958,0.90572,0.68566,0.02329,0.0011015,0.0011015,0.0011015
14,113.543,0.84483,0.89903,0.01317,0.85499,0.78144,0.88214,0.67744,0.95342,0.69994,0.0242,0.00108913,0.00108913,0.00108913
15,120.972,0.8482,0.89715,0.01269,0.83713,0.80549,0.87935,0.68492,0.87633,1.02129,0.02158,0.00107675,0.00107675,0.00107675
16,128.381,0.85047,0.85766,0.01264,0.88445,0.79906,0.87898,0.68852,0.87232,0.69462,0.02219,0.00106437,0.00106437,0.00106437
17,135.82,0.89757,0.86295,0.01291,0.90741,0.79013,0.87988,0.68531,0.93326,0.73181,0.02376,0.001052,0.001052,0.001052
18,143.203,0.83007,0.8301,0.01264,0.85051,0.78336,0.86572,0.6683,0.89969,0.69497,0.02285,0.00103962,0.00103962,0.00103962
19,150.781,0.85139,0.86873,0.01327,0.86694,0.79869,0.88144,0.66587,1.02697,0.76587,0.02864,0.00102725,0.00102725,0.00102725
20,158.129,0.83709,0.8502,0.01263,0.86895,0.80108,0.8944,0.69626,0.89911,0.65225,0.02287,0.00101488,0.00101488,0.00101488
21,165.625,0.81756,0.77939,0.01237,0.88124,0.79824,0.89553,0.68256,0.92574,0.71384,0.02304,0.0010025,0.0010025,0.0010025
22,173.236,0.83575,0.81223,0.01301,0.89973,0.85958,0.91864,0.73289,0.89038,0.59125,0.02311,0.000990125,0.000990125,0.000990125
23,180.728,0.81751,0.76256,0.01235,0.84468,0.84238,0.88874,0.72013,0.83289,0.67482,0.02126,0.00097775,0.00097775,0.00097775
24,188.165,0.82853,0.76961,0.01242,0.87432,0.81414,0.8843,0.68733,0.90362,0.69544,0.02346,0.000965375,0.000965375,0.000965375
25,195.598,0.81354,0.72902,0.0125,0.90011,0.80605,0.91283,0.73289,0.84174,0.62468,0.02083,0.000953,0.000953,0.000953
26,203.259,0.81556,0.75026,0.01246,0.88032,0.84841,0.91604,0.72268,0.83977,0.62472,0.02081,0.000940625,0.000940625,0.000940625
27,210.527,0.7914,0.68707,0.01204,0.88773,0.83675,0.91435,0.72647,0.85727,0.59894,0.0215,0.00092825,0.00092825,0.00092825
28,217.854,0.79996,0.6882,0.0117,0.90878,0.82116,0.92584,0.73022,0.88115,0.61153,0.02181,0.000915875,0.000915875,0.000915875
29,225.155,0.77037,0.67669,0.01142,0.91868,0.82855,0.91647,0.73998,0.83117,0.61752,0.02088,0.0009035,0.0009035,0.0009035
30,232.407,0.79099,0.69685,0.01157,0.88607,0.85245,0.90213,0.73592,0.77293,0.54803,0.01885,0.000891125,0.000891125,0.000891125
31,239.563,0.75897,0.64972,0.01121,0.9096,0.82431,0.91083,0.73468,0.89138,0.60344,0.02302,0.00087875,0.00087875,0.00087875
32,246.831,0.75831,0.66939,0.01132,0.90359,0.83278,0.92467,0.73515,0.86092,0.55252,0.02133,0.000866375,0.000866375,0.000866375
33,254.895,0.75747,0.64363,0.01124,0.88384,0.81984,0.90267,0.717,0.86727,0.81377,0.02183,0.000854,0.000854,0.000854
34,262.453,0.76317,0.62857,0.01101,0.85618,0.87834,0.91657,0.72763,0.8564,0.59636,0.02133,0.000841625,0.000841625,0.000841625
35,269.822,0.75045,0.61426,0.01088,0.90551,0.85776,0.92262,0.74411,0.85915,0.57283,0.02211,0.00082925,0.00082925,0.00082925
36,276.822,0.72914,0.61949,0.01081,0.87637,0.83681,0.91698,0.7426,0.85286,0.83612,0.02149,0.000816875,0.000816875,0.000816875
37,283.89,0.74784,0.61615,0.01125,0.89112,0.83107,0.91253,0.74097,0.81782,0.62833,0.02017,0.0008045,0.0008045,0.0008045
38,291.037,0.74475,0.62127,0.01088,0.8908,0.84705,0.91156,0.72822,0.84826,0.59406,0.02129,0.000792125,0.000792125,0.000792125
39,298.195,0.73625,0.61511,0.01062,0.92397,0.82732,0.90539,0.72716,0.85868,0.63591,0.02239,0.00077975,0.00077975,0.00077975
40,305.413,0.74154,0.60476,0.01106,0.90041,0.86059,0.92176,0.75821,0.80081,0.57787,0.01953,0.000767375,0.000767375,0.000767375
41,312.5,0.71647,0.59492,0.01098,0.90367,0.86385,0.92276,0.74726,0.83406,0.7887,0.021,0.000755,0.000755,0.000755
42,320.149,0.70214,0.56885,0.01053,0.85899,0.88362,0.90861,0.75242,0.80474,0.57301,0.0202,0.000742625,0.000742625,0.000742625
43,327.375,0.71053,0.60143,0.0104,0.9257,0.84232,0.92478,0.75644,0.82822,0.51147,0.0202,0.00073025,0.00073025,0.00073025
44,334.864,0.70902,0.56483,0.01047,0.90022,0.89791,0.94141,0.77699,0.81553,0.47183,0.02013,0.000717875,0.000717875,0.000717875
