epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.7747,0.82377,7.77141,0.01267,0.59093,0.50213,0.55514,0.41191,0.947,3.23159,0.02419,0.000410354,0.000410354,0.000410354
2,23.424,0.99243,2.04001,0.01517,0.60195,0.63882,0.64125,0.42134,1.11106,1.89514,0.03065,0.000818833,0.000818833,0.000818833
3,31.8462,1.12851,1.51436,0.01786,0.70264,0.64213,0.70881,0.48736,1.11746,1.33186,0.02911,0.00121906,0.00121906,0.00121906
4,40.0776,1.11717,1.34794,0.0182,0.79976,0.68898,0.79434,0.55326,1.13889,1.01753,0.03012,0.00121287,0.00121287,0.00121287
5,48.3496,1.07491,1.17714,0.01694,0.83479,0.66117,0.81829,0.54488,1.23517,1.11688,0.03275,0.0012005,0.0012005,0.0012005
6,56.6147,1.08442,1.11229,0.01778,0.82885,0.75761,0.84766,0.59944,1.06345,0.94632,0.02729,0.00118812,0.00118812,0.00118812
7,64.8905,1.02223,1.02994,0.01649,0.80147,0.81631,0.87302,0.64211,1.00405,0.76803,0.02581,0.00117575,0.00117575,0.00117575
8,73.1971,1.02097,1.01078,0.01568,0.82749,0.79957,0.85936,0.63304,1.06911,0.82575,0.02821,0.00116337,0.00116337,0.00116337
9,81.4457,1.00432,0.99428,0.01603,0.8448,0.73223,0.85317,0.63101,1.01686,1.05616,0.02633,0.001151,0.001151,0.001151
10,89.6003,1.024,0.96501,0.01608,0.8316,0.74491,0.83055,0.59655,1.05546,0.88138,0.02819,0.00113863,0.00113863,0.00113863
11,98.2029,0.99508,0.96802,0.01592,0.7261,0.73083,0.78652,0.58198,1.03927,1.22024,0.02711,0.00112625,0.00112625,0.00112625
12,106.496,0.97543,0.89717,0.01564,0.85672,0.83295,0.8847,0.66671,0.9796,0.91055,0.02481,0.00111388,0.00111388,0.00111388
13,114.813,0.9458,0.86887,0.01433,0.81973,0.80762,0.87887,0.65565,1.04718,0.83391,0.02755,0.0011015,0.0011015,0.0011015
14,122.975,0.93099,0.83773,0.01523,0.88536,0.80765,0.91529,0.6895,1.01856,0.65056,0.02679,0.00108913,0.00108913,0.00108913
15,131.208,0.9387,0.84084,0.01435,0.90917,0.7675,0.89737,0.69336,0.9468,0.67335,0.02491,0.00107675,0.00107675,0.00107675
16,139.483,0.91102,0.81344,0.01381,0.83923,0.79822,0.8722,0.66854,0.94982,0.70461,0.02486,0.00106437,0.00106437,0.00106437
17,147.681,0.93263,0.8229,0.01357,0.88343,0.70288,0.85645,0.66313,0.97688,0.82387,0.02466,0.001052,0.001052,0.001052
